object_type,object,columns,primary_keys,foreign_keys,rls_enabled,repository_references,classification,confidence
"production_only","public.security_events","10","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;supabase/migrations/20260831_account_settings.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.telegram_star_entitlements","6","1","2","true","""""","UNKNOWN","MEDIUM"
"production_only","public.telegram_star_orders","11","1","2","true","""""","UNKNOWN","MEDIUM"
"production_only","public.time_management_limits","9","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;supabase/migrations/20260831000000_settings_privacy_2.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.user_blocks","5","1","2","true","""repositories/settings.repository.js;supabase/migrations/20260831000001_user_blocks.sql""","UNKNOWN","LOW"
"production_only","public.user_settings","15","1","2","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;repositories/settings.repository.js;supabase/migrations/20260831000000_settings_privacy_2.sql;supabase/migrations/20260831_account_settings.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.verification_requests","9","1","3","true","""""","UNKNOWN","MEDIUM"
"manifest_only","public.feature_flags","","","","","""MIGRATION-NOTES.md;MONETIZATION.md;database/migrations/001_initial.sql;docs/database/SULTRAKITA-PRODUCTION-SCHEMA-COMPARISON.md;server.js""","INTENDED","MEDIUM"
"manifest_only","public.promo_campaigns","","","","","""api/promo.js;database/migrations/022_suki_promo_hub_p0.sql;docs/SUKI-PROMO-HUB-IMPLEMENTATION-PROMPT.md;docs/SUKI-PROMO-HUB-P0-AUDIT.md;test/promo-p0-contract.test.js""","INTENDED","MEDIUM"
"manifest_only","public.promo_channel_events","","","","","""api/promo.js;database/migrations/022_suki_promo_hub_p0.sql;docs/SUKI-PROMO-HUB-P0-AUDIT.md;test/promo-p0-contract.test.js""","INTENDED","MEDIUM"
"manifest_only","public.promo_channels","","","","","""api/promo.js;database/migrations/022_suki_promo_hub_p0.sql;docs/SUKI-PROMO-HUB-IMPLEMENTATION-PROMPT.md;docs/SUKI-PROMO-HUB-P0-AUDIT.md;test/promo-p0-contract.test.js""","INTENDED","MEDIUM"
"manifest_only","public.promo_events","","","","","""api/promo.js;database/migrations/022_suki_promo_hub_p0.sql;docs/SUKI-PROMO-HUB-IMPLEMENTATION-PROMPT.md;docs/SUKI-PROMO-HUB-P0-AUDIT.md;test/promo-p0-contract.test.js""","INTENDED","MEDIUM"
"manifest_only","public.promo_exports","","","","","""api/promo.js;database/migrations/022_suki_promo_hub_p0.sql;docs/SUKI-PROMO-HUB-P0-AUDIT.md;test/promo-p0-contract.test.js""","INTENDED","MEDIUM"
"manifest_only","public.promo_utm_links","","","","","""api/promo.js;database/migrations/022_suki_promo_hub_p0.sql;docs/SUKI-PROMO-HUB-IMPLEMENTATION-PROMPT.md;docs/SUKI-PROMO-HUB-P0-AUDIT.md;test/promo-p0-contract.test.js""","INTENDED","MEDIUM"
"manifest_only","public.schema_migrations","","","","","""UPGRADE-V6-REPORT.md;docs/database/SULTRAKITA-RECONSTRUCTED-SCHEMA-MANIFEST.md;docs/database/SULTRAKITA-STEP28-SCHEMA-EXPORT.md;docs/reports/SULTRAKITA-STEP29-DATABASE-AUTHORITY.md;scripts/export-schema-manifest.js;scripts/migrate-postgres.js""","INTENDED","HIGH"
